gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,firstPick,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,1,Blue,top,Diobello,oe:player:6fc7d54cb5c88a3b2054aeba60a8ad0,GMBLERS Esports,oe:team:eb2f7366b23f654102ef78cfbd9ab56,1,Gnar,Zyra,Lillia,Wukong,Veigar,Viktor,,,,,,1756,0,7,6,1,22,29,0,0,0,0,0,0,0,0,0.7517,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,21194,724.1686,0.226739,870.7175,702.4374,8005,10,0.3417,3,0.1025,0,27,0.9226,12087,8229,281.1731,0.221322,10033,,,189,187,2,,,6.4579,2647,4230,57,4017,5185,85,-1370,-955,-28,0,0,2,2,0,0,5857,8207,109,7296,8799,123,-1439,-592,-14,1,0,2,5,1,2,8993,12371,147,9225,11307,158,-232,1064,-11,5,1,3,6,4,3,10372,13489,164,11475,14049,192,-1103,-560,-28,6,1,4,7,4,4
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,2,Blue,jng,Mario,oe:player:df1274a25b88333180c934458717dc5,GMBLERS Esports,oe:team:eb2f7366b23f654102ef78cfbd9ab56,1,Xin Zhao,Zyra,Lillia,Wukong,Veigar,Viktor,,,,,,1756,0,5,7,3,22,29,0,0,0,0,0,0,0,0,0.7517,1.7426,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,0,0,16300,556.9476,0.174382,1230.5809,709.1344,0,3,0.1025,5,0.1708,2,26,0.8884,11051,7193,245.7745,0.193459,10850,,,180,6,174,,,6.1503,3798,3685,66,3865,4143,80,-67,-458,-14,2,0,2,1,1,1,5533,5956,104,5829,6597,120,-296,-641,-16,2,1,3,2,1,2,7434,7910,129,8344,9734,164,-910,-1824,-35,3,1,5,4,1,3,9356,10417,160,9942,12089,194,-586,-1672,-34,4,2,5,4,2,3
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,3,Blue,mid,DejaVu,oe:player:f91df124dbb29389941a0a900e8cab6,GMBLERS Esports,oe:team:eb2f7366b23f654102ef78cfbd9ab56,1,Ahri,Zyra,Lillia,Wukong,Veigar,Viktor,,,,,,1756,0,1,6,5,22,29,0,0,0,0,0,0,0,0,0.7517,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,15244,520.8656,0.163085,644.0091,268.9749,1191,11,0.3759,13,0.4442,2,45,1.5376,9943,6085,207.9157,0.16366,10010,,,226,226,0,,,7.7221,3373,4986,86,3784,5200,103,-411,-214,-17,0,2,0,1,0,0,5453,7073,127,5452,7277,143,1,-204,-16,1,2,2,2,1,2,7439,9601,165,7564,9792,165,-125,-191,0,1,4,4,5,3,5,9044,11959,213,9377,12766,221,-333,-807,-8,1,4,4,5,3,5
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,4,Blue,bot,Rharesh,oe:player:bf4680a824168dbc1b4e9e038b6ccc9,GMBLERS Esports,oe:team:eb2f7366b23f654102ef78cfbd9ab56,1,Corki,Zyra,Lillia,Wukong,Veigar,Viktor,,,,,,1756,0,8,6,5,22,29,1,0,0,0,1,1,0,0,0.7517,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,1,31210,1066.4009,0.333893,700.6948,429.9431,8271,10,0.3417,6,0.2050,0,24,0.8200,15036,11178,381.9362,0.300635,14483,,,266,262,4,,,9.0888,4422,3726,87,3468,3609,65,954,117,22,3,0,1,2,0,2,8051,6707,124,6051,5455,92,2000,1252,32,7,1,3,4,3,3,10664,9257,176,8390,8152,140,2274,1105,36,8,3,4,4,6,3,13164,12089,232,10523,10163,194,2641,1926,38,8,3,4,4,6,4
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,5,Blue,sup,Shredder,oe:player:4515c41bfcadfcf2e3c5880242f99a2,GMBLERS Esports,oe:team:eb2f7366b23f654102ef78cfbd9ab56,1,Leona,Zyra,Lillia,Wukong,Veigar,Viktor,,,,,,1756,0,1,4,14,22,29,0,0,0,0,1,0,1,0,0.7517,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,9525,325.4556,0.101901,784.7494,833.6446,915,47,1.6059,11,0.3759,8,119,4.0661,8354,4496,153.6219,0.120924,7985,,,26,26,0,,,0.8884,2839,2810,13,2483,2024,13,356,786,0,0,4,1,0,1,2,4713,4670,18,3872,3831,18,841,839,0,1,7,3,0,5,3,6422,6258,25,5193,6034,21,1229,224,4,1,11,3,0,10,4,7421,7596,26,6285,7496,23,1136,100,3,1,12,3,0,11,4
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,6,Red,top,lobellan,oe:player:e856a4c24d5611c7f42c5acaefcf841,EKO Esports,oe:team:d455b12f2d0ae8596211073fb17c14d,0,Zaahen,Ambessa,Smolder,Syndra,Alistar,Orianna,,,,,,1756,1,11,4,6,29,22,2,0,0,0,0,0,0,0,0.9909,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,35129,1200.3075,0.356278,1511.1731,1515.9909,20922,9,0.3075,6,0.2050,1,29,0.9909,15098,11240,384.0547,0.262254,13355,,,218,206,12,,,7.4487,4017,5185,85,2647,4230,57,1370,955,28,2,0,0,0,0,2,7296,8799,123,5857,8207,109,1439,592,14,5,1,2,1,0,2,9225,11307,158,8993,12371,147,232,-1064,11,6,4,3,5,1,3,11475,14049,192,10372,13489,164,1103,560,28,7,4,4,6,1,4
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,7,Red,jng,Balyy,oe:player:a44ae9bfcb722ad18088def7d750319,EKO Esports,oe:team:d455b12f2d0ae8596211073fb17c14d,0,Diana,Ambessa,Smolder,Syndra,Alistar,Orianna,,,,,,1756,1,4,4,7,29,22,0,0,0,0,0,0,0,0,0.9909,1.7426,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,0,0,15791,539.5558,0.160152,742.7221,963.9294,358,5,0.1708,8,0.2733,3,36,1.2301,12012,8154,278.6105,0.190252,10875,,,215,27,188,,,7.3462,3865,4143,80,3798,3685,66,67,458,14,1,1,1,2,0,2,5829,6597,120,5533,5956,104,296,641,16,2,1,2,2,1,3,8344,9734,164,7434,7910,129,910,1824,35,4,1,3,3,1,5,9942,12089,194,9356,10417,160,586,1672,34,4,2,3,4,2,5
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,8,Red,mid,Divine,oe:player:14bf26aa667423d1fba119e3c8a65e1,EKO Esports,oe:team:d455b12f2d0ae8596211073fb17c14d,0,Mel,Ambessa,Smolder,Syndra,Alistar,Orianna,,,,,,1756,1,7,6,7,29,22,1,0,0,0,0,0,0,0,0.9909,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,21886,747.8132,0.221968,619.9886,359.1458,2945,11,0.3759,3,0.1025,5,24,0.8200,11899,8041,274.7494,0.187615,11075,,,232,229,3,,,7.9271,3784,5200,103,3373,4986,86,411,214,17,1,0,0,0,2,0,5452,7277,143,5453,7073,127,-1,204,16,2,1,2,1,2,2,7564,9792,165,7439,9601,165,125,191,0,5,3,5,1,4,4,9377,12766,221,9044,11959,213,333,807,8,5,3,5,1,4,4
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,9,Red,bot,Toti,oe:player:107741d52551cb5b6e7858935ab858b,EKO Esports,oe:team:d455b12f2d0ae8596211073fb17c14d,0,Sivir,Ambessa,Smolder,Syndra,Alistar,Orianna,,,,,,1756,1,7,4,12,29,22,2,0,0,0,0,0,0,1,0.9909,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,20118,687.4032,0.204037,547.0387,328.0524,3980,11,0.3759,3,0.1025,0,28,0.9567,14821,10963,374.5900,0.255791,11800,,,229,229,0,,,7.8246,3468,3609,65,4422,3726,87,-954,-117,-22,2,0,2,3,0,1,6051,5455,92,8051,6707,124,-2000,-1252,-32,4,3,3,7,1,3,8390,8152,140,10664,9257,176,-2274,-1105,-36,4,6,3,8,3,4,10523,10163,194,13164,12089,232,-2641,-1926,-38,4,6,4,8,3,4
LOLTMNT05_171038,complete,,LIT,2026,Winter,0,2026-01-08 17:08:27,1,16.01,10,Red,sup,S1D,oe:player:e58cdf8eba80387a09db24e165d7d1c,EKO Esports,oe:team:d455b12f2d0ae8596211073fb17c14d,0,Braum,Ambessa,Smolder,Syndra,Alistar,Orianna,,,,,,1756,1,0,4,19,29,22,0,0,0,0,0,0,0,0,0.9909,1.7426,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,5676,193.9408,0.0575659,698.2688,588.3144,670,50,1.7084,8,0.2733,8,103,3.5194,8319,4461,152.4260,0.104087,7095,,,27,27,0,,,0.9226,2483,2024,13,2839,2810,13,-356,-786,0,0,1,2,0,4,1,3872,3831,18,4713,4670,18,-841,-839,0,0,5,3,1,7,3,5193,6034,21,6422,6258,25,-1229,-224,-4,0,10,4,1,11,3,6285,7496,23,7421,7596,26,-1136,-100,-3,0,11,4,1,12,3
